100 1 100 100 100
100 2 200 133 100
100 3 300 199 100
100 4 400 256 100
100 5 500 245 100
100 6 600 292 100
100 7 700 296 100
100 8 800 305 100
100 9 900 352 100
100 10 1000 364 100
100 11 1100 365 100
100 12 1200 367 100
100 13 1300 356 100
100 14 1400 389 100
100 15 1500 389 100
100 16 1600 398 100
100 17 1700 412 100
100 18 1800 427 100
100 19 1900 414 100
100 20 2000 442 100
100 21 2100 443 100
100 22 2200 450 100
100 23 2300 461 100
100 24 2400 448 100
100 25 2500 456 100
100 26 2600 465 100
100 27 2700 453 100
100 28 2800 459 100
100 29 2900 473 100
100 30 3000 474 100
100 31 3100 474 100
100 32 3200 476 100
100 33 3300 491 100
100 34 3400 486 100
100 35 3500 495 100
100 36 3600 505 100
100 37 3700 496 100
100 38 3800 506 100
100 39 3900 516 100
100 40 4000 506 100
100 41 4100 508 100
100 42 4200 519 100
100 43 4300 518 100
100 44 4400 520 100
100 45 4500 524 100
100 46 4600 528 100
100 47 4700 527 100
100 48 4800 530 100
100 49 4900 534 100
100 50 5000 535 100
100 51 5100 533 100
100 52 5200 533 100
100 53 5300 535 100
100 54 5400 539 100
100 55 5500 532 100
100 56 5600 541 100
100 57 5700 538 100
100 58 5800 538 100
100 59 5900 542 100
100 60 6000 542 100
100 61 6100 543 100
100 62 6200 543 100
100 63 6300 543 100
100 64 6400 544 100
100 65 6500 545 100
100 66 6600 548 100
100 67 6700 548 100
100 68 6800 554 100
100 69 6900 555 100
100 70 7000 555 100
100 71 7100 557 100
100 72 7200 564 100
100 73 7300 559 100
100 74 7400 560 100
100 75 7500 560 100
100 76 7600 566 100
100 77 7700 567 100
100 78 7800 566 100
100 79 7900 568 100
100 80 8000 569 100
100 81 8100 566 100
100 82 8200 569 100
100 83 8300 571 100
100 84 8400 571 100
100 85 8500 576 100
100 86 8600 572 100
100 87 8700 572 100
100 88 8800 573 100
100 89 8900 575 100
100 90 9000 575 100
100 91 9100 577 100
100 92 9200 579 100
100 93 9300 577 100
100 94 9400 579 100
100 95 9500 578 100
100 96 9600 578 100
100 97 9700 580 100
100 98 9800 579 100
100 99 9900 580 100
